nombre,busqueda,direccion,telefono,latitud,longitud,url_actual,hora_extraccion
Clínica San Juan de Dios - Hermanos de San Juan de Dios,CLINICAS,"Cl. 72 #28-20, Manizales, Caldas",606) 8870448,5.0572936,-75.4881471,"https://www.google.com/maps/place/Cl%C3%ADnica+San+Juan+de+Dios+-+Hermanos+de+San+Juan+de+Dios/@5.0572936,-75.4881471,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e47656fd6e04007:0x3dcd77c41a3b5048!8m2!3d5.0484415!4d-75.4922805!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBFW1lbnRhbF9oZWFsdGhfc2VydmljZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyc3dlRlV6Vm01UFZrWmhUMFZyZUZsck1YZFdiWGN6VW10V1NWRnNSUkFC4AEA-gEECAAQOg!16s%2Fg%2F1vxw99nn?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:44:37
🏥🧑🏻‍⚕️Clínica Santillana,CLINICAS,"Cra. 24 #56 - 50 P-2, Manizales, Caldas",318 8488236,5.0484415,-75.5012927,"https://www.google.com/maps/place/%F0%9F%8F%A5%F0%9F%A7%91%F0%9F%8F%BB%E2%80%8D%E2%9A%95%EF%B8%8FCl%C3%ADnica+Santillana/@5.0484415,-75.5012927,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e476594ab53e403:0x8110b4e6ad5f8168!8m2!3d5.060558!4d-75.4917172!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBDm1lZGljYWxfY2xpbmljmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4Rk0yRnViSFpZTUhnMlZGVldUV1JzWkVWVlZYaERVVEowYVdKVlJSQULgAQD6AQQIHBBI!16s%2Fg%2F11f6f_mcd3?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:44:40
Sportherapy,CLINICAS,"Cra. 24 #56 - 50 P-2, Manizales, Caldas",318 8488236,5.060558,-75.5007294,"https://www.google.com/maps/place/%F0%9F%8F%A5%F0%9F%A7%91%F0%9F%8F%BB%E2%80%8D%E2%9A%95%EF%B8%8FCl%C3%ADnica+Santillana/@5.060558,-75.5007294,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e476594ab53e403:0x8110b4e6ad5f8168!8m2!3d5.060558!4d-75.4917172!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBDm1lZGljYWxfY2xpbmljmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4Rk0yRnViSFpZTUhnMlZGVldUV1JzWkVWVlZYaERVVEowYVdKVlJSQULgAQD6AQQIHBBI!16s%2Fg%2F11f6f_mcd3?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:44:42
Centro de Diagnóstico Urológico - CDU,CLINICAS,"Cl. 66 #28b-22, Manizales, Caldas",606) 8876505,5.0523463,-75.4999504,"https://www.google.com/maps/place/Centro+de+Diagn%C3%B3stico+Urol%C3%B3gico+-+CDU/@5.0523463,-75.4999504,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e4765d9cd92bd15:0x3f67f4092f1da5fe!8m2!3d5.0538392!4d-75.4900552!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBCXVyb2xvZ2lzdJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSSU0wbERRblozUlJBQuABAPoBBAgAEEM!16s%2Fg%2F11j9347pj3?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:44:44
🏥🧑🏻‍⚕️Clínica Ángel,CLINICAS,"Av. Santander #62-5, Manizales, Caldas",310 5086203,5.0523463,-75.4999504,"https://www.google.com/maps/place/%F0%9F%8F%A5%F0%9F%A7%91%F0%9F%8F%BB%E2%80%8D%E2%9A%95%EF%B8%8FCl%C3%ADnica+%C3%81ngel/@5.0523463,-75.4999504,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e47657dd9368e29:0xfa08427da7d3f1c3!8m2!3d5.0590855!4d-75.4870959!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBDm1lZGljYWxfY2xpbmljmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5TZGxsbWRuZG5SUkFC4AEA-gEECAAQFA!16s%2Fg%2F11cls_gjbn?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:44:46
Cliníca Ospedale Manizales,CLINICAS,"Cl. 51 #24-50, Manizales, Caldas",606) 8933420,5.0590855,-75.4961081,"https://www.google.com/maps/place/Clin%C3%ADca+Ospedale+Manizales/@5.0590855,-75.4961081,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e47655df53584f9:0x65fe5b22008fbdbe!8m2!3d5.0628441!4d-75.4977728!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBCGhvc3BpdGFsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJVYVV0TWFVcFJFQUXgAQD6AQQIABAv!16s%2Fg%2F11tc4yb4h4?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:44:50
De Mujer a Mujer Ginecología y Obstetricia,CLINICAS,"Cra. 23c #64-97, Manizales, Caldas",310 3157384,5.0628441,-75.506785,"https://www.google.com/maps/place/Cl%C3%ADnica+CLEO+Estudios+Oftalmol%C3%B3gicos/@5.0628441,-75.506785,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e47658b816c8b17:0x32eb53ac02ad13b6!8m2!3d5.0556991!4d-75.4875551!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBFG9waHRoYWxtb2xvZ3lfY2xpbmljmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU4xZEhSMVNUbFJSUkFC4AEA-gEECAAQHw!16s%2Fg%2F11mv0hxdjy?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:44:54
Centro Médico Santa Elena,CLINICAS,"Palogrande, Calle 64 # 24-32, Cra. 23c #62-72 y, Manizales, Caldas",304 2308657,5.0556991,-75.4965673,"https://www.google.com/maps/place/De+Mujer+a+Mujer+Ginecolog%C3%ADa+y+Obstetricia/@5.0556991,-75.4965673,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e4765c8bc3ac5e3:0x9c31d7447ae08e44!8m2!3d5.0568348!4d-75.4876274!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBEWd5bmVjb2xvZ2lzdF9vbmx5mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU4yYVhCbWJXVlJFQUXgAQD6AQUIoAEQOA!16s%2Fg%2F11hjxc3fm8?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:45:07
Clínica Ospedale OK,CLINICAS,"Palogrande, Calle 64 # 24-32, Cra. 23c #62-72 y, Manizales, Caldas",304 2308657,5.0556991,-75.4965673,"https://www.google.com/maps/place/De+Mujer+a+Mujer+Ginecolog%C3%ADa+y+Obstetricia/@5.0556991,-75.4965673,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e4765c8bc3ac5e3:0x9c31d7447ae08e44!8m2!3d5.0568348!4d-75.4876274!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBEWd5bmVjb2xvZ2lzdF9vbmx5mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU4yYVhCbWJXVlJFQUXgAQD6AQUIoAEQOA!16s%2Fg%2F11hjxc3fm8?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:45:09
Centro Medico Palogrande,CLINICAS,"Cl. 51 #24-50, Manizales, Caldas",606) 8779100,5.0556991,-75.4965673,"https://www.google.com/maps/place/Cl%C3%ADnica+Ospedale+OK/@5.0556991,-75.4965673,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e476f1c1f96aacd:0x94e278b9287022e4!8m2!3d5.0628469!4d-75.497758!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBDm1lZGljYWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJPYVY4M01sbG5FQUXgAQD6AQQIABAW!16s%2Fg%2F11v3my_6jb?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:45:11
Clínica San rafael,CLINICAS,"Av. Santander #67a-16, Manizales, Caldas",68850006,5.0536032,-75.4933188,"https://www.google.com/maps/place/Cl%C3%ADnica+San+rafael/@5.0536032,-75.4933188,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e4765222153c503:0x544ea29967327467!8m2!3d5.0515805!4d-75.4826682!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBFmxvY2FsX21lZGljYWxfc2VydmljZXOaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjFXZUZRelVsRlpiVnB3VlZVd2VGRnFRbXBTYkZKeVZGaFdNMDVHUlJBQuABAPoBBAgAEC0!16s%2Fg%2F11t16f70fl?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:45:16
Clínica Veterinaria - Universidad de Caldas,CLINICAS,"Cra. 21 #70-06, Manizales, Caldas",606) 8928079,5.0536032,-75.4933188,"https://www.google.com/maps/place/Cl%C3%ADnica+San+rafael/@5.0536032,-75.4933188,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e4765222153c503:0x544ea29967327467!8m2!3d5.0515805!4d-75.4826682!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBFmxvY2FsX21lZGljYWxfc2VydmljZXOaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjFXZUZRelVsRlpiVnB3VlZVd2VGRnFRbXBTYkZKeVZGaFdNMDVHUlJBQuABAPoBBAgAEC0!16s%2Fg%2F11t16f70fl?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:45:29
🏥🧑🏻‍⚕️Clínica de La Presentación,CLINICAS,"Cra. 21 #70-06, Manizales, Caldas",606) 8928079,5.0536032,-75.4933188,"https://www.google.com/maps/place/Cl%C3%ADnica+San+rafael/@5.0536032,-75.4933188,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e4765222153c503:0x544ea29967327467!8m2!3d5.0515805!4d-75.4826682!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBFmxvY2FsX21lZGljYWxfc2VydmljZXOaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjFXZUZRelVsRlpiVnB3VlZVd2VGRnFRbXBTYkZKeVZGaFdNMDVHUlJBQuABAPoBBAgAEC0!16s%2Fg%2F11t16f70fl?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:45:32
E.S.P Clínica La Toscana,CLINICAS,"esquina, Cra 23 calle 46, Manizales, Caldas",606) 8932950,5.0536032,-75.4933188,"https://www.google.com/maps/place/%F0%9F%8F%A5%F0%9F%A7%91%F0%9F%8F%BB%E2%80%8D%E2%9A%95%EF%B8%8FCl%C3%ADnica+de+La+Presentaci%C3%B3n/@5.0536032,-75.4933188,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e476f600ad3e0db:0x7f4116ae3eb3ce5e!8m2!3d5.0658755!4d-75.501697!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBDm1lZGljYWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5UVU52TkRoaVlVcG5FQUXgAQD6AQQIABAz!16s%2Fg%2F11lfc4p65l?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:45:34
Artek Odontología Láser Manizales,CLINICAS,"Calle 67, No. 23A-09, Manizales, Caldas",606) 8933240,5.0542243,-75.4940262,"https://www.google.com/maps/place/Centro+Visual+Moderno+Vizcaya/@5.0542243,-75.4940262,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e4765791122187f:0xffc18660c641493a!8m2!3d5.0542243!4d-75.485014!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBFG9waHRoYWxtb2xvZ3lfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEzZWt0ZmNWWkJFQUXgAQD6AQQIABA-!16s%2Fg%2F11c0vk8w19?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:45:40
Consultorio odontológico Dente - Ángela Osorio Montealegre,CLINICAS,"Cl. 67 #26 a 07, Manizales, Caldas",302 3321785,5.0542243,-75.4940262,"https://www.google.com/maps/place/Artek+Odontolog%C3%ADa+L%C3%A1ser+Manizales/@5.0542243,-75.4940262,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e47657a4838c005:0x6c8bada5de917c92!8m2!3d5.0527348!4d-75.4885391!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBDWRlbnRhbF9jbGluaWOaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBvVTJKV1FYaFZSbFo1WlVjNU1XVkZSbkJNV0ZFd1ZUQnNXbUV3UlJBQuABAPoBBAgAEC4!16s%2Fg%2F11hchwvchh?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:45:54
CENTRO ODONTOLOGICO SAN MARTIN,CLINICAS,"Cl. 67 #26 a 07, Manizales, Caldas",302 3321785,5.0542243,-75.4940262,"https://www.google.com/maps/place/Artek+Odontolog%C3%ADa+L%C3%A1ser+Manizales/@5.0542243,-75.4940262,16z/data=!4m11!1m3!2m2!1sCLINICAS!6e6!3m6!1s0x8e47657a4838c005:0x6c8bada5de917c92!8m2!3d5.0527348!4d-75.4885391!15sCghDTElOSUNBU1oKIghjbGluaWNhc5IBDWRlbnRhbF9jbGluaWOaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBvVTJKV1FYaFZSbFo1WlVjNU1XVkZSbkJNV0ZFd1ZUQnNXbUV3UlJBQuABAPoBBAgAEC4!16s%2Fg%2F11hchwvchh?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 09:45:56
