nombre,busqueda,direccion,telefono,latitud,longitud,url_actual,hora_extraccion
Petin Petshop,petshop,"Cl. 69 #27-105, Palermo, Manizales, Caldas",321 7635885,5.0572936,-75.4881471,"https://www.google.com/maps/place/Petin+Petshop/@5.0572936,-75.4881471,16z/data=!4m11!1m3!2m2!1spetshop!6e6!3m6!1s0x8e47657f9819fc29:0x7b526e3770ee9c6d!8m2!3d5.0514914!4d-75.4898379!15sCgdwZXRzaG9wkgEJcGV0X3N0b3Jl4AEA!16s%2Fg%2F11ysl30lb2?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 10:45:23
AnimALLS Petshop,petshop,"Cra. 28 #68 -06 Local 2, Palermo, Manizales, Caldas",302 8418389,5.0572936,-75.4881471,"https://www.google.com/maps/place/Petin+Petshop/@5.0572936,-75.4881471,16z/data=!4m11!1m3!2m2!1spetshop!6e6!3m6!1s0x8e47657f9819fc29:0x7b526e3770ee9c6d!8m2!3d5.0514914!4d-75.4898379!15sCgdwZXRzaG9wkgEJcGV0X3N0b3Jl4AEA!16s%2Fg%2F11ysl30lb2?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 10:45:25
Paraíso Animal,petshop,"Centro Comercial Sancancio, Calle 48 #39-33, Cra 27A #66 30, Manizales, Caldas",315 2364226,5.0514914,-75.4988501,"https://www.google.com/maps/place/AnimALLS+Petshop/@5.0514914,-75.4988501,16z/data=!4m11!1m3!2m2!1spetshop!6e6!3m6!1s0x8e47659084450e81:0xe96c9bbdc00b389c!8m2!3d5.0524118!4d-75.4900348!15sCgdwZXRzaG9wWgkiB3BldHNob3CSAQx2ZXRlcmluYXJpYW6aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjE0YlZac2NHOU9ha0pSWlVjMU5HSXpRblZSVldNMFVtMXdWRlpHUlJBQuABAPoBBQjHARBC!16s%2Fg%2F11yffyxfmk?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 10:45:26
Conejos Manizales,petshop,"Calle 65 No 31-85, Fatima, Cl. 65, Manizales, Caldas",301 5427637,5.0514914,-75.4988501,"https://www.google.com/maps/place/Para%C3%ADso+Animal/@5.0514914,-75.4988501,16z/data=!4m11!1m3!2m2!1spetshop!6e6!3m6!1s0x8e47652adfefa749:0x92d9bb5330490beb!8m2!3d5.0536272!4d-75.4899138!15sCgdwZXRzaG9wWgkiB3BldHNob3CSARBwZXRfc3VwcGx5X3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5LYlZCeVYxRlJFQUXgAQD6AQQIABAu!16s%2Fg%2F11jwn3jh7v?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 10:45:26
Como Perros Y Gatos,petshop,"Av. Santander #68-15, San Rafael, Manizales, Caldas",68864921,5.0514914,-75.4988501,"https://www.google.com/maps/place/Conejos+Manizales/@5.0514914,-75.4988501,16z/data=!4m11!1m3!2m2!1spetshop!6e6!3m6!1s0x8e476549579aa985:0x2b66ad0fbb2e9c3d!8m2!3d5.0540921!4d-75.4960791!15sCgdwZXRzaG9wWgkiB3BldHNob3CSARBwZXRfc3VwcGx5X3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJhYWpsaGJtcFJSUkFC4AEA-gEECDkQSg!16s%2Fg%2F11q_5gxbz_?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 10:45:27
Almati Veterinarios,petshop,"Cl. 68 #26a-23, Manizales, Caldas",321 8166533,5.0531438,-75.4932376,"https://www.google.com/maps/place/Como+Perros+Y+Gatos/@5.0531438,-75.4932376,16z/data=!4m11!1m3!2m2!1spetshop!6e6!3m6!1s0x8e476579009b6689:0x86383e8e8ae54f91!8m2!3d5.0531438!4d-75.4842254!15sCgdwZXRzaG9wWgkiB3BldHNob3CSARBwZXRfc3VwcGx5X3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJsZGt0eU1VNW5FQUXgAQD6AQQIABA5!16s%2Fg%2F11c2y5ghwc?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 10:45:30
Manu Mascotas Pet Shop,petshop,"Cra. 35a #67A-10, Manizales, Caldas", Enviar al teléfono,5.0531438,-75.4932376,"https://www.google.com/maps/place/Almati+Veterinarios/@5.0531438,-75.4932376,16z/data=!4m11!1m3!2m2!1spetshop!6e6!3m6!1s0x8e47650cf6d20e9b:0xacb7c01458c596cb!8m2!3d5.0521893!4d-75.4886073!15sCgdwZXRzaG9wWgkiB3BldHNob3CSAQx2ZXRlcmluYXJpYW6aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnN4ZUZRd1RrSlBSWE13VmxkMFRXVlhTbmRNVjNCRFpXNWtkMk5yUlJBQuABAPoBBAgAEEA!16s%2Fg%2F11szb9_drn?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 10:45:31
Mister Mascotas,petshop,"Carrera 23 #56-25 Edificio El Carretero Local 3, Manizales, Caldas",311 5993503,5.0522057,-75.4975442,"https://www.google.com/maps/place/Manu+Mascotas+Pet+Shop/@5.0522057,-75.4975442,16z/data=!4m11!1m3!2m2!1spetshop!6e6!3m6!1s0x8e476568a6c904d9:0x242f63de4cb3bcc7!8m2!3d5.050942!4d-75.499557!15sCgdwZXRzaG9w4AEA!16s%2Fg%2F11x7whjzvy?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 10:45:32
"PET SHOP, TIENDA DE MASCOTAS",petshop,"Cra 10A #57f-03, Carolina, Manizales, Caldas",322 4367530,5.050942,-75.5085692,"https://www.google.com/maps/place/Mister+Mascotas/@5.050942,-75.5085692,16z/data=!4m11!1m3!2m2!1spetshop!6e6!3m6!1s0x8e476f87e5c49415:0xcab2fefb32cf36cc!8m2!3d5.0618356!4d-75.4920928!15sCgdwZXRzaG9wWgkiB3BldHNob3CSAQx2ZXRlcmluYXJpYW6aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjA1V1ZWNlJuaGliV1JUVmtWR1ZsRlhNVk5pYm1SUVZWaE9hMk5IWXhBQuABAPoBBAh9EEA!16s%2Fg%2F11hcn9y21j?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 10:45:33
PETS CLUB MANIZALES,petshop,"Centro Comercial Mall Plaza, Carrera 14, Av. Kevin Ángel ##55D – 251, Manizales, Caldas",318 6742971,5.061806,-75.5011253,"https://www.google.com/maps/place/PET+SHOP,+TIENDA+DE+MASCOTAS/@5.061806,-75.5011253,16z/data=!4m11!1m3!2m2!1spetshop!6e6!3m6!1s0x8e476fca070486b3:0xf6d4560903c8184b!8m2!3d5.0657742!4d-75.4874701!15sCgdwZXRzaG9wWgkiB3BldHNob3CSARBwZXRfc3VwcGx5X3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU14YVY5ZlJHUjNFQUXgAQD6AQQIABAc!16s%2Fg%2F11rl4bwr11?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",2026-04-14 10:45:34
