nombre,busqueda,direccion,telefono,latitud,longitud,url_actual,hora_extraccion
Animal Health,veterinarias,No disponible,No disponible,5.0572936,-75.4881471,"https://www.google.com/maps/search/veterinarias/@5.0572936,-75.4881471,16z/data=!4m2!2m1!6e6?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:44:39
CEV Centro de Especialistas Mascotas,veterinarias,No disponible,No disponible,5.0572936,-75.4881471,"https://www.google.com/maps/place/Animal+Health/@5.0572936,-75.4881471,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e476579780db70d:0xef2e42d51f988f97!8m2!3d5.053457!4d-75.4862569!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEPYW5pbWFsX2hvc3BpdGFsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVE1ZDFBM05UVlJSUkFC4AEA-gEECAAQNw!16s%2Fg%2F1thl6h38?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:44:40
HemoVet - Centro de Salud Integral,veterinarias,"Cra. 29 #67 - 28, Palermo, Manizales, Caldas",320 8137962,5.0572936,-75.4881471,"https://www.google.com/maps/place/Asvet+Cl%C3%ADnica+veterinaria/@5.0572936,-75.4881471,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e476f6f669cfc21:0xe14d7c54341cc84!8m2!3d5.0610599!4d-75.496697!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEMdmV0ZXJpbmFyaWFumgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1YWVHVnRjSFZrTTJ4d1lteHdVRTR3YURCWFdFNHlZbXhDYldKSFl4QULgAQD6AQQIABA1!16s%2Fg%2F11rd21hvq4?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:44:41
Clínica Veterinaria - Universidad de Caldas,veterinarias,"Manizales, Caldas",319 3618054,5.0572936,-75.4881471,"https://www.google.com/maps/place/HemoVet+-+Centro+de+Salud+Integral/@5.0572936,-75.4881471,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e476580c978d917:0x67485232e4266d29!8m2!3d5.053278!4d-75.49177!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEMdmV0ZXJpbmFyaWFumgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4U00xZElhRXRYUms1ellteG9VbEpyVmpaVlF6RXdVek5PY21Gc1JSQULgAQD6AQUIwgMQMQ!16s%2Fg%2F11g5_50qk8?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:44:42
Centro Veterinario Servipets,veterinarias,"Cl. 69 #26-08, Manizales, Caldas",301 7575999,5.0547954,-75.5019843,"https://www.google.com/maps/place/Cl%C3%ADnica+Veterinaria+-+Universidad+de+Caldas/@5.0547954,-75.5019843,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e47657b4d1d02b1:0xcd383c1c80d3be3e!8m2!3d5.0547954!4d-75.4929721!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEMdmV0ZXJpbmFyaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVIxYldKMmJHUjNFQUXgAQD6AQQIABA_!16s%2Fg%2F11c31ynfg4?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:44:45
San Miguel Medicina Veterinaria,veterinarias,"Cl. 55a #24-28, Manizales, Caldas",606) 8863100,5.0547954,-75.5019843,"https://www.google.com/maps/place/Centro+Veterinario+Servipets/@5.0547954,-75.5019843,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e476570e47dfd99:0x9e4d18c7dff63ff9!8m2!3d5.051711!4d-75.4882866!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEPYW5pbWFsX2hvc3BpdGFsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJvTTAweVEwdFJFQUXgAQD6AQQIABAb!16s%2Fg%2F11gzmyd2yj?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:44:46
San Agustin Centro Veterinario,veterinarias,"Cra 20 # 72-62, Manizales, Caldas",68909797,5.051711,-75.4972988,"https://www.google.com/maps/place/San+Miguel+Medicina+Veterinaria/@5.051711,-75.4972988,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e476f881f1c08b9:0xf419d336516fd38f!8m2!3d5.0614038!4d-75.4938004!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEPYW5pbWFsX2hvc3BpdGFsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5vTXprM1dVeG5FQUXgAQD6AQQIABBE!16s%2Fg%2F11bzz45sx6?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:44:47
La Estrella Clínica Veterinaria y Centro de Nutrición,veterinarias,"Barrio la estrella, Cra. 24b #61 A - 37, Manizales, Caldas",315 2308233,5.0612975,-75.5027521,"https://www.google.com/maps/place/San+Agustin+Centro+Veterinario/@5.0612975,-75.5027521,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e476582a7ec3a5d:0x978094584e97ba69!8m2!3d5.0513962!4d-75.4809333!15sCgx2ZXRlcmluYXJpYXOSAQx2ZXRlcmluYXJpYW7gAQA!16s%2Fg%2F11c2q5p89m?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:44:48
CENTRO VETERINARIO FATIMA MANIZALES - Consultas - Cirugías Veterinaria - Medicamentos Veterinarios - Medicina Felina y Canina,veterinarias,"Calle 66 30b-37 Fatima, Manizales, Caldas",315 4567388,5.0513962,-75.4899455,"https://www.google.com/maps/place/La+Estrella+Cl%C3%ADnica+Veterinaria+y+Centro+de+Nutrici%C3%B3n/@5.0513962,-75.4899455,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e47658ae2fd3f9f:0x75548d98833a3727!8m2!3d5.0589163!4d-75.4892633!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEMdmV0ZXJpbmFyaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU16YTFBeVRFZG5FQUXgAQD6AQQIABBF!16s%2Fg%2F11rb9kt7k_?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:44:48
"Conexion Animal, Medicina Veterinaria",veterinarias,"Cra. 23b #67-39, Palermo, Manizales, Caldas",304 2761949,5.0533669,-75.5037318,"https://www.google.com/maps/place/CENTRO+VETERINARIO+FATIMA+MANIZALES+-+Consultas+-+Cirug%C3%ADas+Veterinaria+-+Medicamentos+Veterinarios+-+Medicina+Felina+y+Canina/@5.0533669,-75.5037318,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e476564dffd6021:0x564b10d907322c65!8m2!3d5.0533669!4d-75.4947196!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEPYW5pbWFsX2hvc3BpdGFsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJDYXkxUE5rdFJFQUXgAQD6AQQIABAv!16s%2Fg%2F11c2nc8vg_?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:44:50
