nombre,busqueda,direccion,telefono,latitud,longitud,url_actual,hora_extraccion
CENTRO VETERINARIO FATIMA MANIZALES - Consultas - Cirugías Veterinaria - Medicamentos Veterinarios - Medicina Felina y Canina,veterinarias colombia,"Calle 66 30b-37 Fatima, Manizales, Caldas",315 4567388,5.0572936,-75.4881471,"https://www.google.com/maps/place/CENTRO+VETERINARIO+FATIMA+MANIZALES+-+Consultas+-+Cirug%C3%ADas+Veterinaria+-+Medicamentos+Veterinarios+-+Medicina+Felina+y+Canina/@5.0572936,-75.4881471,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e476564dffd6021:0x564b10d907322c65!8m2!3d5.0533669!4d-75.4947196!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEPYW5pbWFsX2hvc3BpdGFsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJDYXkxUE5rdFJFQUXgAQD6AQQIABAv!16s%2Fg%2F11c2nc8vg_?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:20:39
Animal Lab,veterinarias colombia,"Cra. 28c #69-43, Manizales, Caldas",317 7088034,5.0572936,-75.4881471,"https://www.google.com/maps/place/CENTRO+VETERINARIO+FATIMA+MANIZALES+-+Consultas+-+Cirug%C3%ADas+Veterinaria+-+Medicamentos+Veterinarios+-+Medicina+Felina+y+Canina/@5.0572936,-75.4881471,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e476564dffd6021:0x564b10d907322c65!8m2!3d5.0533669!4d-75.4947196!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEPYW5pbWFsX2hvc3BpdGFsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJDYXkxUE5rdFJFQUXgAQD6AQQIABAv!16s%2Fg%2F11c2nc8vg_?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:20:40
Centro Veterinario Servipets,veterinarias colombia,"Cl. 69 #26-08, Manizales, Caldas",301 7575999,5.0533669,-75.5037318,"https://www.google.com/maps/place/Animal+Lab/@5.0533669,-75.5037318,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e4765f857067803:0x90e2ced92eb3e720!8m2!3d5.0514186!4d-75.4911609!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEKbGFib3JhdG9yeZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRek1rMHlhWHBCUlJBQuABAPoBBAgAEDM!16s%2Fg%2F11h23wx7ww?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:20:41
Animal Health,veterinarias colombia,"Cra. 23c #67-30, Manizales, Caldas",312 6352804,5.0533669,-75.5037318,"https://www.google.com/maps/place/Centro+Veterinario+Servipets/@5.0533669,-75.5037318,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e476570e47dfd99:0x9e4d18c7dff63ff9!8m2!3d5.051711!4d-75.4882866!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEPYW5pbWFsX2hvc3BpdGFsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJvTTAweVEwdFJFQUXgAQD6AQQIABAb!16s%2Fg%2F11gzmyd2yj?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:20:41
Qi Animal Fisioterapia y Acupuntura Veterinaria,veterinarias colombia,"Cl. 67 #28D-39, Manizales, Caldas",323 8750822,5.053457,-75.4952691,"https://www.google.com/maps/place/Almati+Veterinarios/@5.053457,-75.4952691,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e47650cf6d20e9b:0xacb7c01458c596cb!8m2!3d5.0521893!4d-75.4886073!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEMdmV0ZXJpbmFyaWFumgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJzeGVGUXdUa0pQUlhNd1ZsZDBUV1ZYU25kTVYzQkRaVzVrZDJOclJSQULgAQD6AQQIABBA!16s%2Fg%2F11szb9_drn?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:20:44
Clínica Veterinaria - Universidad de Caldas,veterinarias colombia,"Manizales, Caldas",319 3618054,5.053457,-75.4952691,"https://www.google.com/maps/place/Qi+Animal+Fisioterapia+y+Acupuntura+Veterinaria/@5.053457,-75.4952691,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x2c7a7526d82845d9:0x676a13338e8d81aa!8m2!3d5.0535458!4d-75.4914826!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEMdmV0ZXJpbmFyaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5ZYm1ScWVtSjNFQUXgAQD6AQQIABAr!16s%2Fg%2F11tnxs7lf0?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:20:45
Asvet Clínica veterinaria,veterinarias colombia,"Barrio la Arboleda, Cra. 25A #53A-66, Manizales, Caldas",606) 8886533,5.053542,-75.5002698,"https://www.google.com/maps/place/Cl%C3%ADnica+Veterinaria+-+Universidad+de+Caldas/@5.053542,-75.5002698,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e47657b4d1d02b1:0xcd383c1c80d3be3e!8m2!3d5.0547954!4d-75.4929721!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVIxY2t4WFJHNTNSUkFC4AEA-gEECAAQRg!16s%2Fg%2F11c31ynfg4?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:20:46
Pawsupport,veterinarias colombia,"Barrio la Arboleda, Cra. 25A #53A-66, Manizales, Caldas",606) 8886533,5.0547737,-75.5019546,"https://www.google.com/maps/place/Asvet+Cl%C3%ADnica+veterinaria/@5.0547737,-75.5019546,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e476f6f669cfc21:0xe14d7c54341cc84!8m2!3d5.0610599!4d-75.496697!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF0ZFZCbFZuaFJSUkFC4AEA-gEECAAQPQ!16s%2Fg%2F11rd21hvq4?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:20:47
VETEQ SAS,veterinarias colombia,"Centro Comercial Sancancio, Cra 27A #66-30 Local 732, Manizales, Caldas",314 6279288,5.0610556,-75.5057066,"https://www.google.com/maps/place/Pawsupport/@5.0610556,-75.5057066,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e47656428ac821b:0x35c09170b5d8e0b6!8m2!3d5.0535215!4d-75.489878!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEQcGV0X3N1cHBseV9zdG9yZeABAA!16s%2Fg%2F11y404hj8w?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:20:49
San Miguel Medicina Veterinaria,veterinarias colombia,"Cl. 55a #24-28, Manizales, Caldas",606) 8863100,5.0535215,-75.4988902,"https://www.google.com/maps/place/Pawsupport/@5.0535215,-75.4988902,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e47656428ac821b:0x35c09170b5d8e0b6!8m2!3d5.0535215!4d-75.489878!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEQcGV0X3N1cHBseV9zdG9yZeABAA!16s%2Fg%2F11y404hj8w?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:20:51
